model-1679639340,1679639340.05,0.0,4.0591,0.0,3.9882
model-1679639340,1679639340.051,0.5,4.0026,0.0,3.9963
model-1679639340,1679639340.052,0.0,3.9873,0.0,3.9949
model-1679639340,1679639340.053,0.0,4.0051,0.0,3.9773
model-1679639340,1679639340.054,0.0,3.9785,0.5,3.9782
model-1679639340,1679639340.055,0.0,4.0113,0.0,3.9815
model-1679639340,1679639340.056,0.5,3.9783,1.0,3.9629
model-1679639340,1679639340.057,0.0,3.9833,0.0,3.9974
model-1679639340,1679639340.058,0.0,4.0005,0.0,3.9852
model-1679639340,1679639340.059,0.0,3.9867,0.0,3.9727
model-1679639340,1679639340.06,0.0,3.9781,0.0,3.978
model-1679639340,1679639340.061,1.0,3.9565,0.0,3.9763
model-1679639340,1679639340.062,0.0,3.9799,0.0,3.9755
model-1679639340,1679639340.064,0.0,3.983,0.0,3.9873
model-1679639340,1679639340.065,0.0,3.9966,0.0,3.9626
model-1679639340,1679639340.066,0.5,3.9743,0.0,3.9795
model-1679639340,1679639340.066,0.0,3.9905,0.0,3.9756
model-1679639340,1679639340.067,0.0,3.9832,0.0,3.9794
model-1679639340,1679639340.068,0.5,3.9842,0.0,3.9763
model-1679639340,1679639340.069,0.5,3.9681,0.5,3.9758
model-1679639340,1679639340.07,0.0,3.9848,0.0,3.9909
model-1679639340,1679639340.071,0.0,3.9887,0.0,3.9824
model-1679639340,1679639340.071,0.0,3.9876,0.5,3.9783
model-1679639340,1679639340.072,0.0,3.9983,1.0,3.961
model-1679639340,1679639340.073,0.0,3.9721,1.0,3.9617
model-1679639340,1679639340.074,0.0,3.9913,0.5,3.9671
model-1679639340,1679639340.075,0.5,3.9743,0.5,3.9648
model-1679639340,1679639340.076,0.5,3.9685,0.5,3.9655
model-1679639340,1679639340.076,0.5,3.9698,0.0,3.9825
model-1679639340,1679639340.077,0.5,3.9693,0.0,3.9739
model-1679639340,1679639340.078,0.0,3.9724,0.0,3.98
model-1679639340,1679639340.078,0.0,3.9696,1.0,3.9688
model-1679639340,1679639340.079,0.0,3.9742,0.0,3.968
model-1679639340,1679639340.08,0.0,3.9763,0.5,3.9906
model-1679639340,1679639340.081,0.0,3.9828,0.0,3.973
model-1679639340,1679639340.082,0.0,3.9774,0.5,3.9911
